meanfreq,sd,median,Q25,IQR,sp.ent,sfm,centroid,meanfun,meandom,label
0.059780985,0.064241268,0.032026913,0.015071489,0.075121951,0.893369417,0.491917766,0.059780985,0.084279106,0.0078125,male
0.06600874,0.067310029,0.040228735,0.019413867,0.073252323,0.892193242,0.513723843,0.06600874,0.107936554,0.009014423,male
0.077315503,0.083829421,0.036718459,0.008701057,0.123206961,0.846389092,0.478904979,0.077315503,0.098706262,0.007990057,male
0.151228092,0.072110587,0.158011187,0.096581728,0.111373524,0.963322462,0.727231799,0.151228092,0.088964849,0.201497396,male
0.135120387,0.0791461,0.124656229,0.078720218,0.127324711,0.971955076,0.783568058,0.135120387,0.106397845,0.7128125,male
0.132786407,0.079556866,0.119089848,0.067957993,0.141633606,0.963181346,0.738307004,0.132786407,0.11013192,0.298221983,male
0.15076233,0.074463205,0.160106383,0.092898936,0.112819149,0.96757307,0.76263767,0.15076233,0.105944515,0.479619565,male
0.160514332,0.076766885,0.144336775,0.110532168,0.121429706,0.95925457,0.719857907,0.160514332,0.09305243,0.301339286,male
0.142239417,0.078018462,0.138587444,0.088206278,0.120381166,0.970722932,0.770992054,0.142239417,0.096728946,0.336476293,male
0.134328777,0.080350028,0.121451347,0.075579989,0.12637713,0.975246143,0.804505253,0.134328777,0.105880926,0.340364583,male
0.157020511,0.071942931,0.168160153,0.101429933,0.115309819,0.965249139,0.733692878,0.157020511,0.088893983,0.460227273,male
0.138550521,0.077053993,0.127526596,0.08731383,0.115425532,0.966003775,0.752042013,0.138550521,0.104199319,0.24609375,male
0.137342742,0.080876707,0.124262508,0.083144899,0.126081871,0.963513528,0.736149955,0.137342742,0.092644019,0.481670673,male
0.181225459,0.060042055,0.190953206,0.128838821,0.100693241,0.93744576,0.537079995,0.181225459,0.131503722,1.277113971,male
0.183115281,0.06698235,0.191232529,0.129148666,0.111003812,0.940332623,0.571394202,0.183115281,0.102798695,1.245738636,male
0.174272105,0.069411045,0.190874107,0.115601979,0.112677295,0.950972025,0.635199178,0.174272105,0.102045991,1.621299342,male
0.190846298,0.065790282,0.207950987,0.132280463,0.112076242,0.938546013,0.538809584,0.190846298,0.113322801,1.434114583,male
0.171246971,0.07487157,0.152806653,0.122390852,0.121226611,0.936953537,0.586419514,0.171246971,0.079718312,0.106279481,male
0.168345946,0.074120817,0.145618472,0.11575591,0.124068169,0.93452338,0.559742318,0.168345946,0.083484022,0.1465625,male
0.173631376,0.073351512,0.153568557,0.123680214,0.120553819,0.930916893,0.518268557,0.173631376,0.090129539,0.193044355,male
0.172754287,0.076902583,0.177736289,0.120070012,0.12529755,0.925539327,0.523081123,0.172754287,0.093573513,0.235877404,male
0.181015394,0.074369304,0.169298813,0.128673139,0.125501618,0.91528412,0.475317471,0.181015394,0.09864341,0.20984375,male
0.163535853,0.072448898,0.145542522,0.113929619,0.113519062,0.927014678,0.542422404,0.163535853,0.062541644,0.059621711,male
